"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.964977260E1,6.500117683E1,2.548424102E1,1.394563329E1,1.383421183E0,1.596044464E2,4.000000000E0,3.000000000E0
8.064835271E1,6.500116410E1,2.548425010E1,1.385219744E1,1.406936169E0,1.609404907E2,4.000000000E0,3.000000000E0
8.165184225E1,6.500114929E1,2.548426332E1,1.384531482E1,1.439365864E0,1.617397156E2,4.000000000E0,3.000000000E0
8.263849810E1,6.500113325E1,2.548427626E1,1.375858089E1,1.469353080E0,1.643183899E2,4.000000000E0,3.000000000E0
8.361568502E1,6.500112012E1,2.548428395E1,1.347496782E1,1.493884444E0,1.656989288E2,4.000000000E0,3.000000000E0
8.465762190E1,6.500110126E1,2.548430075E1,1.371300611E1,1.539722323E0,1.610726624E2,3.000000000E0,3.000000000E0
8.563967063E1,6.500108417E1,2.548431057E1,1.391447232E1,1.576447964E0,1.635518341E2,3.000000000E0,3.000000000E0
8.664569659E1,6.500106268E1,2.548433254E1,1.412163813E1,1.637954235E0,1.613875885E2,3.000000000E0,3.000000000E0
8.764826459E1,6.500104204E1,2.548434540E1,1.411300249E1,1.670118332E0,1.618448944E2,3.000000000E0,3.000000000E0
8.865194532E1,6.500102799E1,2.548435415E1,1.411485174E1,1.698909402E0,1.613765411E2,3.000000000E0,3.000000000E0
8.964608017E1,6.500101215E1,2.548436533E1,1.390426457E1,1.714058399E0,1.640833893E2,3.000000000E0,3.000000000E0
9.064605594E1,6.500099572E1,2.548438134E1,1.386873739E1,1.711227179E0,1.659026184E2,3.000000000E0,3.000000000E0
9.164197851E1,6.500098154E1,2.548439249E1,1.539662928E1,1.719451785E0,1.642217102E2,3.000000000E0,3.000000000E0
9.264919478E1,6.500096759E1,2.548440004E1,1.537593816E1,1.723552108E0,1.631674500E2,4.000000000E0,3.000000000E0
9.364303093E1,6.500095430E1,2.548441110E1,1.507164026E1,1.720421910E0,1.593619080E2,4.000000000E0,3.000000000E0
9.464262020E1,6.500094371E1,2.548442077E1,1.486610719E1,1.722606301E0,1.595781097E2,4.000000000E0,3.000000000E0
9.566401739E1,6.500093144E1,2.548442753E1,1.482057185E1,1.732433438E0,1.656437683E2,4.000000000E0,3.000000000E0
9.663234055E1,6.500091525E1,2.548443682E1,1.453093661E1,1.739055276E0,1.661521759E2,4.000000000E0,3.000000000E0
9.764750112E1,6.500089630E1,2.548444926E1,1.403867566E1,1.726984143E0,1.651582336E2,4.000000000E0,3.000000000E0
9.865298605E1,6.500088206E1,2.548446003E1,1.430011247E1,1.720869422E0,1.631062927E2,4.000000000E0,3.000000000E0
9.964632397E1,6.500086754E1,2.548447214E1,1.424133777E1,1.710335255E0,1.615056152E2,4.000000000E0,3.000000000E0
1.006408275E2,6.500084838E1,2.548448674E1,1.445955423E1,1.739301801E0,1.609685974E2,4.000000000E0,3.000000000E0
1.016532546E2,6.500083528E1,2.548449195E1,1.457587583E1,1.741787672E0,1.613600464E2,4.000000000E0,3.000000000E0
1.026512941E2,6.500082252E1,2.548449656E1,1.444615164E1,1.731375933E0,1.632665100E2,3.000000000E0,3.000000000E0
1.036388896E2,6.500080098E1,2.548450560E1,1.482593701E1,1.762604475E0,1.672942505E2,3.000000000E0,3.000000000E0
1.046481102E2,6.500078346E1,2.548451234E1,1.462318866E1,1.781752110E0,1.672609253E2,3.000000000E0,3.000000000E0
1.056343220E2,6.500076895E1,2.548451804E1,1.455342132E1,1.767691255E0,1.681318054E2,3.000000000E0,3.000000000E0
1.066502336E2,6.500076254E1,2.548452007E1,1.442225574E1,1.741220355E0,1.685235291E2,4.000000000E0,3.000000000E0
1.076383413E2,6.500075220E1,2.548452698E1,1.441953361E1,1.712819338E0,1.717356873E2,4.000000000E0,3.000000000E0
1.086443074E2,6.500073850E1,2.548453172E1,1.482015291E1,1.690683961E0,1.719763947E2,4.000000000E0,3.000000000E0
1.096401130E2,6.500073255E1,2.548454322E1,1.952118651E1,1.640022755E0,1.656090088E2,4.000000000E0,3.000000000E0
1.106484430E2,6.500071969E1,2.548455092E1,1.904093646E1,1.596693277E0,1.711548920E2,4.000000000E0,3.000000000E0
1.116512811E2,6.500070158E1,2.548456230E1,1.873120356E1,1.575417399E0,1.672428436E2,4.000000000E0,3.000000000E0
1.126472605E2,6.500068431E1,2.548457662E1,1.868354943E1,1.557503104E0,1.710664978E2,4.000000000E0,3.000000000E0
1.136532748E2,6.500066743E1,2.548457742E1,1.854234390E1,1.550586224E0,1.753956299E2,4.000000000E0,3.000000000E0
