"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.047385503E0,9.705539703E0,4.420744777E-1,8.841573715E0
2.057385503E0,9.625226021E0,3.784156442E-1,8.840007782E0
2.067385536E0,9.572902679E0,4.667018056E-1,8.603996277E0
2.077385569E0,9.764321327E0,5.376421213E-1,8.101130486E0
2.087385102E0,1.014640808E1,5.147823095E-1,7.674632549E0
2.097384868E0,1.029179859E1,4.845861793E-1,7.465939522E0
2.107384868E0,1.016606617E1,5.604488850E-1,7.370622635E0
2.117384901E0,9.912713051E0,5.352911949E-1,7.277770042E0
2.127385267E0,9.505692482E0,7.246584892E-1,7.098812580E0
2.137385267E0,9.246383667E0,1.122456193E0,7.304071426E0
2.147385267E0,9.091717720E0,1.301552534E0,7.282390118E0
2.157385967E0,8.866549492E0,1.557067752E0,7.307530880E0
2.167386833E0,8.999714851E0,1.838354111E0,7.416424751E0
2.177387333E0,8.725172043E0,2.207315683E0,7.335203171E0
2.187388833E0,8.560199738E0,2.460780382E0,7.641910553E0
2.197388899E0,8.481051445E0,2.743992329E0,7.780596256E0
2.207389132E0,8.509096146E0,3.012604713E0,8.035676003E0
2.217389598E0,8.421369553E0,3.142735243E0,8.583003998E0
2.227388931E0,8.253562927E0,3.287561178E0,9.617986679E0
2.237388231E0,7.941356182E0,3.452820301E0,1.053122902E1
2.247387531E0,7.518771172E0,3.546087265E0,1.133116055E1
2.257387497E0,7.147438049E0,3.684110641E0,1.225557137E1
2.267387497E0,7.165190220E0,3.739278316E0,1.272793198E1
2.277387530E0,7.576351166E0,3.709860563E0,1.222068024E1
2.287387530E0,7.605154991E0,3.537638187E0,1.199133301E1
2.297387530E0,7.507666588E0,3.419852257E0,1.188116169E1
2.307387630E0,7.681584835E0,3.430463791E0,1.173101425E1
2.317386896E0,7.873187065E0,3.123909473E0,1.175670719E1
2.327386162E0,7.742220879E0,2.923040390E0,1.242906284E1
2.337385495E0,7.350200653E0,2.777819157E0,1.310555267E1
2.347385495E0,7.143729210E0,3.464290619E0,1.279979610E1
2.357385495E0,6.811918736E0,3.562745810E0,1.266843605E1
2.367385461E0,6.746320248E0,3.603527069E0,1.237514400E1
2.377385461E0,6.438760281E0,3.521620989E0,1.158315468E1
2.387385494E0,6.525163651E0,3.424271107E0,1.127415752E1
2.397385494E0,7.060589790E0,2.892992973E0,1.162109566E1
2.407385494E0,7.288403034E0,1.951921701E0,1.225606918E1
2.417385460E0,7.649291992E0,1.131296158E0,1.369048119E1
2.427385126E0,7.732048035E0,3.585276008E-1,1.483704948E1
2.437385126E0,7.851831436E0,-2.936404347E-1,1.558168221E1
2.447384692E0,7.842835903E0,-5.432795286E-1,1.546392250E1
2.457384292E0,7.077884674E0,-5.279223323E-1,1.450210953E1
2.467384292E0,6.332787037E0,-3.927747607E-1,1.307507515E1
2.477384258E0,5.769720078E0,-4.837430120E-1,1.138686562E1
2.487383258E0,5.290719509E0,-5.229135752E-1,1.021579742E1
2.497383824E0,4.761730194E0,-6.661567688E-1,9.431815147E0
2.507384057E0,4.518279076E0,-9.346120358E-1,9.115119934E0
2.517384057E0,4.823831558E0,-1.091848969E0,8.685327530E0
2.527383790E0,5.469638348E0,-1.417500615E0,8.324722290E0
2.537383823E0,6.312813759E0,-1.587812304E0,8.341924667E0
2.547384089E0,6.289393425E0,-1.727221608E0,8.331580162E0
2.557383655E0,7.124279022E0,-1.944762468E0,8.351659775E0
2.567383621E0,7.424078941E0,-2.236008644E0,8.385505676E0
2.577382887E0,7.430242538E0,-2.245901585E0,8.115033150E0
2.587382553E0,7.209175110E0,-2.589237928E0,7.672255516E0
2.597381853E0,7.233089447E0,-2.609366417E0,7.243868351E0
2.607383853E0,7.471436977E0,-2.831374645E0,7.376299381E0
2.617384553E0,7.808176041E0,-3.158512115E0,7.395211697E0
2.627385253E0,7.751088142E0,-3.380771160E0,7.398112774E0
2.637385919E0,8.039669037E0,-3.349077702E0,8.085352898E0
2.647385952E0,8.371554375E0,-3.760745525E0,7.844014645E0
2.657385952E0,9.020245552E0,-3.643595219E0,8.159859657E0
2.667385952E0,9.504798889E0,-3.478479147E0,8.774479866E0
2.677385918E0,9.615931511E0,-3.323993206E0,8.671487808E0
2.687385918E0,8.972835541E0,-2.834310770E0,8.174129486E0
2.697385951E0,8.822012901E0,-1.586686730E0,7.258261681E0
2.707385951E0,8.523226738E0,-5.709917545E-1,6.807898045E0
2.717385951E0,9.050061226E0,5.680465698E-2,7.220930099E0
2.727385917E0,9.231115341E0,3.983768225E-1,8.281278610E0
2.737385950E0,9.137719154E0,2.346469164E-1,9.626121521E0
2.747386416E0,9.033392906E0,1.204924583E-1,1.089490891E1
2.757386816E0,8.960310936E0,-6.489874125E-1,1.312026119E1
2.767386816E0,8.009462357E0,-1.162610292E0,1.527103138E1
2.777386816E0,6.769282341E0,-1.326872587E0,1.626037598E1
2.787386782E0,5.356531143E0,-7.221671343E-1,1.653916740E1
2.797387115E0,2.960708618E0,8.864303827E-1,1.566387939E1
2.807386448E0,6.725068092E-1,2.547073364E0,1.488002396E1
2.817385748E0,-1.014695644E0,3.151062727E0,1.423695374E1
2.827386681E0,-1.979360580E0,2.832588673E0,1.441093063E1
2.837387347E0,-2.655634403E0,2.222626686E0,1.509773445E1
2.847387813E0,-3.497499466E0,1.189297915E0,1.538464165E1
2.857388279E0,-4.287372589E0,2.840344429E0,1.640765381E1
2.867388279E0,-7.564763546E0,2.598797798E0,1.686385918E1
2.877388979E0,-1.022313118E1,2.801591158E0,1.742096710E1
2.887389312E0,-1.225227737E1,3.477325201E0,1.941754723E1
2.897390045E0,-1.487989807E1,2.637190819E0,2.138155365E1
2.907387945E0,-1.598961544E1,1.661095142E0,2.247648621E1
2.917387945E0,-1.582535553E1,9.272310734E-1,2.259531403E1
2.927387945E0,-1.478423119E1,5.367288589E-1,2.143875122E1
2.937387945E0,-1.281366825E1,7.793331146E-1,1.852906036E1
2.947387911E0,-1.053055191E1,1.023378611E0,1.595093155E1
2.957387944E0,-8.870224953E0,1.194906712E0,1.404123116E1
2.967387977E0,-7.400071144E0,1.387043953E0,1.284464741E1
2.977387977E0,-6.428958416E0,1.339333057E0,1.211246109E1
2.987387943E0,-6.928806305E0,1.735463619E0,9.522468567E0
2.997387909E0,-6.894304752E0,2.563841820E0,9.134821892E0
3.007387942E0,-7.131546021E0,2.212435246E0,9.856282234E0
3.017387942E0,-6.967761040E0,1.182868004E0,1.125844097E1
3.027387942E0,-5.587995529E0,5.627870560E-1,1.293762207E1
3.037387908E0,-4.226229668E0,1.655296326E0,1.346664810E1
3.047387908E0,-3.115447521E0,2.490757942E0,1.356457043E1
3.057387941E0,-2.112360477E0,3.061934948E0,1.230295563E1
3.067387941E0,-1.528063893E0,3.881157160E0,1.026235771E1
3.077387941E0,-1.257467747E0,4.406104088E0,9.586228371E0
3.087387941E0,-1.210132718E0,5.230281353E0,1.000246429E1
3.097387474E0,-1.814643145E0,5.922378063E0,1.063650131E1
3.107388140E0,-2.770587683E0,6.055641174E0,1.006374454E1
3.117388873E0,-4.167817116E0,6.437938690E0,1.097670555E1
3.127388873E0,-5.800683022E0,6.677389145E0,1.114111900E1
3.137388873E0,-5.804899216E0,8.253086090E0,1.038358879E1
3.147388839E0,-6.055940628E0,8.054752350E0,1.086546516E1
3.157388839E0,-5.517599583E0,7.590498924E0,9.001659393E0
3.167388872E0,-4.521063805E0,7.568494797E0,8.218156815E0
3.177388872E0,-4.831639290E0,7.973325253E0,7.974286079E0
3.187388872E0,-4.942625999E0,8.777817726E0,6.711591721E0
3.197388838E0,-5.494943142E0,8.944478035E0,6.376941204E0
3.207388871E0,-5.490260124E0,9.005125999E0,6.474808693E0
3.217388204E0,-5.310352325E0,9.141527176E0,5.609909058E0
3.227388204E0,-5.520336151E0,8.664930344E0,5.490247726E0
3.237387837E0,-5.929183960E0,7.735892296E0,6.597832680E0
3.247387837E0,-6.743116379E0,7.071526527E0,6.870814323E0
3.257387803E0,-6.775194168E0,7.634397507E0,5.871040821E0
3.267387103E0,-8.282113075E0,7.537035942E0,5.188514709E0
3.277387136E0,-9.343313217E0,7.212470055E0,5.125376225E0
3.287387136E0,-1.021596050E1,6.951901436E0,4.937436581E0
3.297386436E0,-1.051952934E1,6.713221550E0,4.690960884E0
3.307385702E0,-1.206849194E1,6.402985096E0,5.532730579E0
3.317385735E0,-1.323580360E1,7.146738052E0,5.892949104E0
3.327385768E0,-1.553317928E1,7.010148048E0,4.426734924E0
3.337385768E0,-1.567306614E1,6.991715431E0,4.348002434E0
3.347385734E0,-1.724650764E1,3.887562275E0,2.539710999E0
3.357385700E0,-1.626937675E1,3.761239052E0,3.673062325E0
3.367385733E0,-1.511121178E1,3.614828110E0,5.523574829E0
3.377385733E0,-1.480300713E1,3.710053921E0,6.951726913E0
3.387385733E0,-1.557358360E1,4.869194508E0,8.084419250E0
3.397385733E0,-1.490253830E1,4.312884331E0,1.013199615E1
3.407385733E0,-1.355680752E1,4.129182339E0,1.141707039E1
3.417385699E0,-1.203083611E1,3.806859016E0,1.114464951E1
3.427385732E0,-1.084195614E1,2.406029224E0,1.169008541E1
3.437385032E0,-1.099621201E1,2.054282665E0,1.101624489E1
3.447385032E0,-1.151512814E1,1.594746113E0,8.871076584E0
3.457384298E0,-1.253134537E1,1.885241985E0,7.189143181E0
3.467384264E0,-1.463564110E1,2.634185314E0,4.976328850E0
3.477384297E0,-1.424549007E1,3.305285931E0,6.421126366E0
3.487384297E0,-1.359904671E1,2.633278847E0,8.473949432E0
3.497384297E0,-1.373284626E1,4.677426338E0,9.358776093E0
